,han_text
0,시발ㅋㅋㅋㅋㅋㅋㅋㅋ백신패스안된대서쓰발시발귀멸의칼날봄시발
1,  위드 코로나 단계적 일상 회복 델타 변이 전파력이 명당 명인즉 가 면역이면 소멸됨 백신이 정도 막아준다고 치면 전 국민  백신 완료 시  소멸 또는 전 국민  백신 완료 시 감염자 만명 시  소멸 즉 감염자는 계속 증거할 거고 감염자 만 명이 될 때까지 컨트롤 하는 기 핵심
2,삼천 ㅋㅋㅋㅋ위드코로나 괜찮냐고 어이어이
3, 알고 보니 위드 코로나 감염이었던 거임 아님
4,여기저기 밴드 라이브도 점점 많아지는구나 당연히 백신 패스에 인원 제한에 간격 제한된 좌석제이지만
5,위드 코로나라고 바로 잔 돌리는 갑질
6,위드 코로나  이후 작년 월 이후 처음 방문한 일본 동경의 우에 니즈에 위치한 어느 라멘집 넉넉한 숙주가 인상적인 이곳에서의 뜨끈한 국물 한 숟갈이 무척 그리웠다 
7,버스에 그 한남 특유 담배 냄새 향수 냄새 가득 참 아 왜 대학교 위드 코로나 하냐고ㅡㅡ
8,전남도청 단계적 일상 회복 후 확진자 배 급증 확산 방지를 위해 타 지역 방문 자제 유증 상시 기침 두통 인후통 발열 등 출근 등교 전 진단 검사받으세요 전남도청   재난문자
9, 그라고 접종자들끼리 돌파 감염 중이라 더만 여 특히 노인여가복지시설 이러다가 백신 패스는 미접종자 보호 패스가 되는 건가
10,   티켓 이벤트 수능 막 끝난 고삼인데 위드 코로나로 바뀌고 여러 시상식들이 대면으로 바뀐 것 같아 너무 행복해요ㅎㅎ 가수들 멋진 무대도 구경하고 즐겁기 놀다 오고 싶어요
11,위드 코로난데 재도 온 사람 더 안 뽑겠지 재도 온 월로 미뤄질 줄 알았으면 티켓 잡는 건데
